textblob result
False : meta-agl
False : agl
False : agl
False : meta-agl
False : ui
False : ui
False : meta-agl-demo/meta-agl-demohtml
False : sub-layers
False : meta-agl
False : sub-layers
False : --
False : --
False : licensegpl-20-only
False : --
False : licensemit
False : --
False : readme-aglmd
False : --
False : readmemd
False : ->
False : meta-aglmd
False : --
False : agl-layers-overviewmd
False : --
False : --
False : meta-agl-bsp
False : --
False : meta-agl-core
False : --
False : meta-agl-core-test
False : --
False : meta-agl-ic
False : --
False : meta-agl-ivi
False : --
False : meta-aglmd
False : --
False : meta-app-framework
False : --
False : meta-netboot
False : --
False : meta-pipewire
False : --
False : --
False : sub-layers
False : meta-agl
False : readme
False : rtfm
False : agl-layers-overviewmd
False : agl
False : agl
False : meta-agl-bsp
False : agl
False : ie
False : qemu
False : meta-agl-core
False : recieps
False : distro
False : meta-agl-core-test
False : qa
False : meta-agl-ic
False : meta-agl-ivi
False : ivi
False : meta-app-framework
False : agl
False : meta-netboot
False : nbd
False : nfs
False : meta-pipewire
False : pipewire
False : agl
False : agl
False : packagegroups
False : agl
False : packagegrouphttps//yoctoprojectorg/docs/244/dev-manual/dev-manualhtmlusingpoky-extend-customimage-customtasks
False : non-ui
False : packagegroups
False : meta-agl-core/recipes-platform/packagegroups/packagegroup-agl-core-connectivitybb
False : meta-agl-core/recipes-platform/packagegroups/packagegroup-agl-core-develbb
False : meta-agl-core/recipes-platform/packagegroups/packagegroup-agl-core-securitybb
False : meta-agl-core/recipes-platform/packagegroups/packagegroup-agl-core-os-commonlibsbb
False : meta-agl-core/recipes-platform/packagegroups/packagegroup-agl-profile-graphicalbb
False : meta-agl-core/recipes-platform/packagegroups/packagegroup-agl-graphical-multimediabb
False : meta-agl-core/recipes-platform/packagegroups/packagegroup-agl-graphical-westonbb
False : image-related
False : packagegroups
False : meta-agl-core/recipes-platform/packagegroups/packagegroup-agl-core-bootbb
False : meta-agl-core/recipes-platform/packagegroups/packagegroup-agl-image-bootbb
False : meta-agl-core/recipes-platform/packagegroups/packagegroup-agl-image-minimalbb
False : qa/test
False : packagegroups
False : meta-agl-core-test/recipes-test/packagegroups
False : meta-agl-core-test/recipes-test/packagegroups/packagegroup-agl-testbb
False : bootable
False : meta-agl-core/recipes-platform/images/agl-image-bootbb
False : sdk
False : meta-agl-core/recipes-platform/images/agl-image-minimalbb
False : meta-agl-core/recipes-platform/images/agl-image-minimal-crosssdkbb
False : weston-based
False : re-use
False : meta-agl-core/recipes-platform/images/agl-image-westonbb
False : yp
False : autobuilder
False : meta-agl-core/recipes-platform/images/agl-image-core-autobuilderbb
False : qa
False : eg
False : ltp
False : meta-agl-core-test/images/agl-image-minimal-qabb
False : /readmemd
False : ------------
False : meta-arm
False : thats
False : bsps
False : upstreamed
False : meta-arm-bsp
False : meta-arm-iota
False : linux
False : meta-arm-toolchain
False : gnu-a
False : toolset
False : meta-arm-autonomy
False : ------------
False : meta-arm
False : https//wwwopenembeddedorg/wiki/how_to_submit_a_patch_to_openembedded
False : e-mail
False : meta-arm@listsyoctoprojectorg
False : --------------
False : e-mail
False : meta-arm@listsyoctoprojectorg
False : -------------
False : jon
False : <jonmason@armcom>
False : bsps
False : ==================
False : linux
False : /readmemd
False : meta-arm-autonomy
False : yocto
False : =============================
False : ------------
False : xen
False : guidedocumentation/arm-autonomy-quickstartmd
False : ------------
False : yocto
False : meta-openembedded
False : https//gitopenembeddedorg/meta-openembedded
False : https//gityoctoprojectorg/poky
False : meta-virtualization
False : https//gityoctoprojectorg/meta-virtualization
False : ---------------------
False : yocto
False : distro_features
False : arm-autonomy-host
False : xen
False : ipv4
False : distro_features
False : xen
False : backend
False : linux
False : filesystem
False : arm-autonomy-guest
False : ipv4
False : distro_features
False : xen
False : frontend
False : linux
False : hvc0
False : init
False : bitbake
False : -----------------
False : localconf
False : bitbake
False : xen-devicetreedocumentation/xen-devicetreemd
False : xenguest-managerdocumentation/xenguest-managermd
False : xenguest-network-bridgedocumentation/xenguest-network-bridgemd
False : bsps
False : ----
False : arm64-autonomy-guest
False : bsp
False : arm64
False : smp
False : linux
False : distro_feature
False : arm-autonomy-guest
False : ------
False : arm-autonomy-host-image-minimal
False : arm-autonomy-host
False : xen
False : xen
False : arm-autonomy-host
False : -------------------
False : xen-devicetreedocumentation/xen-devicetreemd
False : xen
False : dom0
False : linux
False : xenguest-mkimagedocumentation/xenguest-mkimagemd
False : xen
False : xenguest-managerdocumentation/xenguest-managermd
False : create/remove/start/stop
False : xen
False : xenguest-mkimage
False : xenguest-network-bridgedocumentation/xenguest-network-bridgemd
False : init
False : ------------
False : -------------
False : bertrand
False : <bertrandmarquis@armcom>
False : filipe
False : rinaldi
False : <filiperinaldi@armcom>
False : meta-qcom
False : openembedded/yocto
False : qualcomm
False : uri
False : git//githubcom/openembedded/oe-coregit
False : meta-oe
False : uri
False : git//githubcom/openembedded/meta-openembeddedgit
False : meta-oe
False : meta-oe
False : eg
False : bblayers
False : meta-qcom
False : meta-qcom/conf/layerconf
False : github
False : https//githubcom/ndechesne/meta-qcom/pulls
False : openembedded@listslinaroorg
False : format-patch
False : -s
False : --subject-prefix=meta-qcompatch
False : send-email
False : --to
False : openembedded@listslinaroorg
False : <generated
False : patch>
False : linaro
False : freenode
False : irc
False : https//githubcom/ndechesne/meta-qcom/issues
False : nicolas
False : dechesne
False : <nicolasdechesne@linaroorg>
False : yocto
False : bsp
False : sancloud
False : <img
False : align=right
False : src=https//wwwsancloudcouk/wp-content/uploads/2016/09/sancloud_and_address_webpng>https//wwwsancloudcouk/
False : sancloud
False : websitehttps//wwwsancloudcouk/
False : beaglebone
False : descriptionhttps//wwwsancloudcouk/beaglebone-enhanced-bbe
False : sancloud
False : githubhttps//githubcom/sancloudltd
False : yocto
False : bsp
False : sancloud
False : yocto
False : bbe
False : sancloud
False : beaglebone
False : bbe
False : bsp
False : linux
False : agl
False : arago
False : os
False : ubuntu
False : 2004
False : weve
False : yocto
False : sancloud
False : bsp
False : https//rawgithubusercontentcom/sancloudltd/meta-sancloud/dunfell-r2/scripts/prepare-hostsh
False : linux
False : hosthttps//wwwyoctoprojectorg/docs/314/ref-manual/ref-manualhtmlrequired-packages-for-the-build-host
False : yocto
False : 32-bit
False : multilib
False : c++
False : arago
False : youre
False : prepare-hostsh
False : bsp
False : indexhttp//layersopenembeddedorg/
False : openembedded/yocto
False : bitbake-layers
False : layerindex-fetch
False : bblayersconf
False : yocto
False : yocto
False : guidehttps//wwwyoctoprojectorg/docs/311/brief-yoctoprojectqs/brief-yoctoprojectqshtml
False : linux
False : linux
False : yocto
False : bbe
False : -b
False : dunfell
False : git//gityoctoprojectorg/poky
False : cd
False : oe-init-build-env
False : bitbake-layers
False : layerindex-fetch
False : meta-sancloud
False : bbe
False : >>
False : conf/localconf
False : bitbake
False : core-image-base
False : agl
False : bsp
False : agl
False : agl
False : instructionshttps//wikiautomotivelinuxorg/agl-distro/source-code
False : agl
False : youre
False : top-level
False : agl
False : agl
False : sancloud
False : bbe
False : meta-agl/scripts/aglsetupsh
False : -m
False : bbe
False : agl-demo
False : agl-devel
False : bitbake
False : agl-demo-platform
False : arago/poky
False : kas
False : bsp
False : kas
False : toolhttps//githubcom/siemens/kas
False : bitbake
False : bbe
False : distro
False : kas
False : kas
False : distro
False : bbe
False : kas
False : kas/bbe-pokyyml
False : bsp
False : sdk
False : kas
False : sdk
False : kas
False : kas/bbe-sdk-pokyyml
False : arago
False : arago
False : distro
False : bbe
False : toolchain
False : youre
False : prepare-hostsh
False : abovehost-os-preparation
False : toolchain
False : gcc-arm-92-201912-x86_64-arm-none-linux-gnueabihftarxzhttps//bitly/arm-none-linux-gnueabihf-2019-12
False : /opt
False : wget
False : https//bitly/arm-none-linux-gnueabihf-2019-12
False : -o
False : gcc-arm-92-201912-x86_64-arm-none-linux-gnueabihftarxz
False : sudo
False : xf
False : gcc-arm-92-201912-x86_64-arm-none-linux-gnueabihftarxz
False : -c
False : /opt
False : toolchain
False : kas
False : kas/bbe-aragoyml
False : bsp
False : sdk
False : arago
False : kas
False : sdk
False : kas
False : kas/bbe-sdk-aragoyml
False : customisation
False : kas
False : customisation
False : url
False : meta-sancloud
False : bsp
False : bsp
False : github
