iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
0, 1, 190, 2021-12-03T12:54:07+09:00, 5, 12, LOSE, r
0, 2, 190, 2021-12-03T12:58:28+09:00, 5, 7, LOSE, r
0, 3, 190, 2021-12-03T13:02:50+09:00, 4, 12, LOSE, r
0, 7, 190, 2021-12-03T13:07:12+09:00, 3, 16, LOSE, r
0, 5, 190, 2021-12-03T13:11:34+09:00, 9, 17, LOSE, r
0, 11, 190, 2021-12-03T13:15:59+09:00, 3, 13, LOSE, r
0, 9, 190, 2021-12-03T13:20:21+09:00, 4, 8, LOSE, r
0, 12, 190, 2021-12-03T13:24:52+09:00, 6, 14, LOSE, r
1, 1, 190, 2021-12-03T13:29:11+09:00, 14, 13, WIN, r
1, 2, 190, 2021-12-03T13:33:32+09:00, 7, 6, WIN, r
1, 3, 190, 2021-12-03T13:37:54+09:00, 6, 6, LOSE, r
1, 7, 190, 2021-12-03T13:42:16+09:00, 9, 12, LOSE, r
1, 5, 190, 2021-12-03T13:46:41+09:00, 6, 10, LOSE, r
1, 11, 190, 2021-12-03T13:51:06+09:00, 12, 11, WIN, r
1, 9, 190, 2021-12-03T13:55:31+09:00, 4, 12, LOSE, r
1, 12, 190, 2021-12-03T14:00:02+09:00, 7, 11, LOSE, r
2, 1, 190, 2021-12-03T14:04:21+09:00, 13, 3, WIN, r
2, 2, 190, 2021-12-03T14:08:58+09:00, 4, 9, LOSE, r
2, 3, 190, 2021-12-03T14:13:32+09:00, 11, 1, WIN, r
2, 7, 190, 2021-12-03T14:17:54+09:00, 4, 9, LOSE, r
2, 5, 190, 2021-12-03T14:22:19+09:00, 5, 16, LOSE, r
2, 11, 190, 2021-12-03T14:26:44+09:00, 1, 11, LOSE, r
2, 9, 190, 2021-12-03T14:31:05+09:00, 5, 14, LOSE, r
2, 12, 190, 2021-12-03T14:35:36+09:00, 7, 8, LOSE, r
3, 1, 190, 2021-12-03T14:39:58+09:00, 12, 7, WIN, r
3, 2, 190, 2021-12-03T14:44:20+09:00, 5, 10, LOSE, r
3, 3, 190, 2021-12-03T14:48:45+09:00, 2, 13, LOSE, r
3, 7, 190, 2021-12-03T14:53:06+09:00, 5, 15, LOSE, r
3, 5, 190, 2021-12-03T14:57:28+09:00, 2, 12, LOSE, r
3, 11, 190, 2021-12-03T15:01:50+09:00, 3, 13, LOSE, r
3, 9, 190, 2021-12-03T15:06:12+09:00, 2, 12, LOSE, r
3, 12, 190, 2021-12-03T15:10:43+09:00, 9, 17, LOSE, r
4, 1, 190, 2021-12-03T15:15:04+09:00, 12, 4, WIN, r
4, 2, 190, 2021-12-03T15:19:23+09:00, 6, 10, LOSE, r
4, 3, 190, 2021-12-03T15:23:45+09:00, 2, 12, LOSE, r
4, 7, 190, 2021-12-03T15:28:10+09:00, 2, 12, LOSE, r
4, 5, 190, 2021-12-03T15:32:35+09:00, 11, 15, LOSE, r
4, 11, 190, 2021-12-03T15:37:00+09:00, 2, 12, LOSE, r
4, 9, 190, 2021-12-03T15:41:24+09:00, 7, 10, LOSE, r
4, 12, 190, 2021-12-03T15:45:55+09:00, 5, 14, LOSE, r
end
