iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
0, 1, 190, 2021-12-03T07:01:16+09:00, 0, 1, LOSE, r
0, 2, 190, 2021-12-03T07:05:41+09:00, 4, 8, LOSE, r
0, 3, 190, 2021-12-03T07:10:06+09:00, 4, 4, LOSE, r
0, 7, 190, 2021-12-03T07:14:39+09:00, 2, 15, LOSE, r
0, 5, 190, 2021-12-03T07:18:58+09:00, 0, 11, LOSE, r
0, 11, 190, 2021-12-03T07:23:20+09:00, 11, 15, LOSE, r
0, 9, 190, 2021-12-03T07:27:45+09:00, 8, 9, LOSE, r
0, 12, 190, 2021-12-03T07:32:16+09:00, 0, 10, LOSE, r
1, 1, 190, 2021-12-03T07:36:35+09:00, 0, 1, LOSE, r
1, 2, 190, 2021-12-03T07:41:08+09:00, 5, 2, WIN, r
1, 3, 190, 2021-12-03T07:45:42+09:00, 0, 4, LOSE, r
1, 7, 190, 2021-12-03T07:50:07+09:00, 0, 10, LOSE, r
1, 5, 190, 2021-12-03T07:54:32+09:00, 2, 14, LOSE, r
1, 11, 190, 2021-12-03T07:58:57+09:00, 11, 10, WIN, r
1, 9, 190, 2021-12-03T08:03:22+09:00, 0, 12, LOSE, r
1, 12, 190, 2021-12-03T08:07:52+09:00, 0, 13, LOSE, r
2, 1, 190, 2021-12-03T08:12:14+09:00, 0, 1, LOSE, r
2, 2, 190, 2021-12-03T08:16:36+09:00, 8, 5, WIN, r
2, 3, 190, 2021-12-03T08:21:10+09:00, 0, 5, LOSE, r
2, 7, 190, 2021-12-03T08:25:35+09:00, 1, 15, LOSE, r
2, 5, 190, 2021-12-03T08:30:00+09:00, 4, 14, LOSE, r
2, 11, 190, 2021-12-03T08:34:24+09:00, 0, 8, LOSE, r
2, 9, 190, 2021-12-03T08:38:49+09:00, 2, 7, LOSE, r
2, 12, 190, 2021-12-03T08:43:20+09:00, 0, 14, LOSE, r
3, 1, 190, 2021-12-03T08:47:42+09:00, 2, 1, WIN, r
3, 2, 190, 2021-12-03T08:52:07+09:00, 4, 3, WIN, r
3, 3, 190, 2021-12-03T08:56:28+09:00, 3, 11, LOSE, r
3, 7, 190, 2021-12-03T09:00:53+09:00, 0, 10, LOSE, r
3, 5, 190, 2021-12-03T09:05:12+09:00, 0, 10, LOSE, r
3, 11, 190, 2021-12-03T09:09:37+09:00, 5, 8, LOSE, r
3, 9, 190, 2021-12-03T09:13:56+09:00, 0, 10, LOSE, r
3, 12, 190, 2021-12-03T09:18:27+09:00, 1, 13, LOSE, r
4, 1, 190, 2021-12-03T09:22:45+09:00, 0, 1, LOSE, r
4, 2, 190, 2021-12-03T09:27:04+09:00, 3, 5, LOSE, r
4, 3, 190, 2021-12-03T09:31:26+09:00, 0, 9, LOSE, r
4, 7, 190, 2021-12-03T09:36:00+09:00, 3, 14, LOSE, r
4, 5, 190, 2021-12-03T09:40:25+09:00, 3, 12, LOSE, r
4, 11, 190, 2021-12-03T09:44:50+09:00, 0, 2, LOSE, r
4, 9, 190, 2021-12-03T09:49:14+09:00, 0, 14, LOSE, r
4, 12, 190, 2021-12-03T09:53:46+09:00, 1, 5, LOSE, r
end
