iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
0, 1, 190, 2021-12-03T01:08:17+09:00, 7, 1, WIN, r
0, 2, 190, 2021-12-03T01:12:42+09:00, 2, 1, WIN, r
0, 3, 190, 2021-12-03T01:17:04+09:00, 3, 1, WIN, r
0, 7, 190, 2021-12-03T01:21:41+09:00, 13, 3, WIN, r
0, 5, 190, 2021-12-03T01:26:06+09:00, 7, 5, WIN, r
0, 11, 190, 2021-12-03T01:30:28+09:00, 2, 1, WIN, r
0, 9, 190, 2021-12-03T01:34:50+09:00, 8, 3, WIN, r
0, 12, 190, 2021-12-03T01:39:27+09:00, 3, 4, LOSE, r
1, 1, 190, 2021-12-03T01:43:49+09:00, 8, 1, WIN, r
1, 2, 190, 2021-12-03T01:48:23+09:00, 2, 1, WIN, r
1, 3, 190, 2021-12-03T01:52:56+09:00, 2, 0, WIN, r
1, 7, 190, 2021-12-03T01:57:21+09:00, 5, 4, WIN, r
1, 5, 190, 2021-12-03T02:01:43+09:00, 15, 5, WIN, r
1, 11, 190, 2021-12-03T02:06:05+09:00, 13, 3, WIN, r
1, 9, 190, 2021-12-03T02:10:27+09:00, 3, 2, WIN, r
1, 12, 190, 2021-12-03T02:14:58+09:00, 5, 6, LOSE, r
2, 1, 190, 2021-12-03T02:19:19+09:00, 9, 1, WIN, r
2, 2, 190, 2021-12-03T02:23:53+09:00, 11, 1, WIN, r
2, 3, 190, 2021-12-03T02:28:15+09:00, 2, 0, WIN, r
2, 7, 190, 2021-12-03T02:32:36+09:00, 10, 4, WIN, r
2, 5, 190, 2021-12-03T02:37:01+09:00, 13, 10, WIN, r
2, 11, 190, 2021-12-03T02:41:23+09:00, 15, 1, WIN, r
2, 9, 190, 2021-12-03T02:45:42+09:00, 6, 2, WIN, r
2, 12, 190, 2021-12-03T02:50:13+09:00, 10, 6, WIN, r
3, 1, 190, 2021-12-03T02:54:35+09:00, 8, 1, WIN, r
3, 2, 190, 2021-12-03T02:58:57+09:00, 10, 1, WIN, r
3, 3, 190, 2021-12-03T03:03:18+09:00, 5, 12, LOSE, r
3, 7, 190, 2021-12-03T03:07:40+09:00, 7, 5, WIN, r
3, 5, 190, 2021-12-03T03:12:02+09:00, 12, 8, WIN, r
3, 11, 190, 2021-12-03T03:16:24+09:00, 13, 2, WIN, r
3, 9, 190, 2021-12-03T03:20:46+09:00, 8, 1, WIN, r
3, 12, 190, 2021-12-03T03:25:17+09:00, 3, 9, LOSE, r
4, 1, 190, 2021-12-03T03:29:35+09:00, 7, 1, WIN, r
4, 2, 190, 2021-12-03T03:34:09+09:00, 11, 1, WIN, r
4, 3, 190, 2021-12-03T03:38:31+09:00, 2, 0, WIN, r
4, 7, 190, 2021-12-03T03:42:53+09:00, 11, 5, WIN, r
4, 5, 190, 2021-12-03T03:47:15+09:00, 15, 4, WIN, r
4, 11, 190, 2021-12-03T03:51:36+09:00, 13, 2, WIN, r
4, 9, 190, 2021-12-03T03:55:58+09:00, 3, 0, WIN, r
4, 12, 190, 2021-12-03T04:00:29+09:00, 9, 10, LOSE, r
end
