iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
0, 1, 190, 2021-12-03T04:05:00+09:00, 4, 1, WIN, r
0, 2, 190, 2021-12-03T04:09:22+09:00, 12, 1, WIN, r
0, 3, 190, 2021-12-03T04:13:44+09:00, 8, 5, WIN, r
0, 7, 190, 2021-12-03T04:18:09+09:00, 15, 7, WIN, r
0, 5, 190, 2021-12-03T04:22:31+09:00, 12, 11, WIN, r
0, 11, 190, 2021-12-03T04:26:55+09:00, 16, 2, WIN, r
0, 9, 190, 2021-12-03T04:31:20+09:00, 5, 2, WIN, r
0, 12, 190, 2021-12-03T04:35:51+09:00, 3, 5, LOSE, r
1, 1, 190, 2021-12-03T04:40:10+09:00, 5, 1, WIN, r
1, 2, 190, 2021-12-03T04:44:32+09:00, 11, 1, WIN, r
1, 3, 190, 2021-12-03T04:48:51+09:00, 4, 3, WIN, r
1, 7, 190, 2021-12-03T04:53:16+09:00, 16, 6, WIN, r
1, 5, 190, 2021-12-03T04:57:38+09:00, 12, 11, WIN, r
1, 11, 190, 2021-12-03T05:01:59+09:00, 8, 3, WIN, r
1, 9, 190, 2021-12-03T05:06:21+09:00, 4, 1, WIN, r
1, 12, 190, 2021-12-03T05:10:52+09:00, 6, 4, WIN, r
2, 1, 190, 2021-12-03T05:15:11+09:00, 4, 1, WIN, r
2, 2, 190, 2021-12-03T05:19:45+09:00, 10, 1, WIN, r
2, 3, 190, 2021-12-03T05:24:06+09:00, 10, 0, WIN, r
2, 7, 190, 2021-12-03T05:28:40+09:00, 10, 8, WIN, r
2, 5, 190, 2021-12-03T05:33:05+09:00, 15, 11, WIN, r
2, 11, 190, 2021-12-03T05:37:30+09:00, 7, 2, WIN, r
2, 9, 190, 2021-12-03T05:41:52+09:00, 3, 1, WIN, r
2, 12, 190, 2021-12-03T05:46:23+09:00, 4, 14, LOSE, r
3, 1, 190, 2021-12-03T05:50:41+09:00, 4, 1, WIN, r
3, 2, 190, 2021-12-03T05:55:06+09:00, 11, 1, WIN, r
3, 3, 190, 2021-12-03T05:59:25+09:00, 7, 1, WIN, r
3, 7, 190, 2021-12-03T06:03:50+09:00, 9, 5, WIN, r
3, 5, 190, 2021-12-03T06:08:15+09:00, 16, 6, WIN, r
3, 11, 190, 2021-12-03T06:12:36+09:00, 13, 2, WIN, r
3, 9, 190, 2021-12-03T06:16:58+09:00, 8, 2, WIN, r
3, 12, 190, 2021-12-03T06:21:32+09:00, 4, 7, LOSE, r
4, 1, 190, 2021-12-03T06:25:51+09:00, 4, 1, WIN, r
4, 2, 190, 2021-12-03T06:30:16+09:00, 11, 1, WIN, r
4, 3, 190, 2021-12-03T06:34:35+09:00, 9, 1, WIN, r
4, 7, 190, 2021-12-03T06:38:57+09:00, 13, 5, WIN, r
4, 5, 190, 2021-12-03T06:43:31+09:00, 17, 5, WIN, r
4, 11, 190, 2021-12-03T06:47:52+09:00, 12, 2, WIN, r
4, 9, 190, 2021-12-03T06:52:14+09:00, 3, 2, WIN, r
4, 12, 190, 2021-12-03T06:56:31+09:00, 3, 14, LOSE, r
end
