iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
0, 1, 190, 2021-12-03T09:58:14+09:00, 10, 9, WIN, r
0, 2, 190, 2021-12-03T10:02:36+09:00, 9, 2, WIN, r
0, 3, 190, 2021-12-03T10:07:01+09:00, 8, 2, WIN, r
0, 7, 190, 2021-12-03T10:11:23+09:00, 7, 11, LOSE, r
0, 5, 190, 2021-12-03T10:15:48+09:00, 5, 7, LOSE, r
0, 11, 190, 2021-12-03T10:20:13+09:00, 14, 3, WIN, r
0, 9, 190, 2021-12-03T10:24:38+09:00, 7, 12, LOSE, r
0, 12, 190, 2021-12-03T10:29:09+09:00, 3, 6, LOSE, r
1, 1, 190, 2021-12-03T10:33:30+09:00, 13, 2, WIN, r
1, 2, 190, 2021-12-03T10:37:52+09:00, 7, 2, WIN, r
1, 3, 190, 2021-12-03T10:42:17+09:00, 6, 2, WIN, r
1, 7, 190, 2021-12-03T10:46:39+09:00, 8, 6, WIN, r
1, 5, 190, 2021-12-03T10:51:01+09:00, 1, 14, LOSE, r
1, 11, 190, 2021-12-03T10:55:26+09:00, 13, 9, WIN, r
1, 9, 190, 2021-12-03T10:59:36+09:00, 15, 12, WIN, r
1, 12, 190, 2021-12-03T11:04:07+09:00, 4, 8, LOSE, r
2, 1, 190, 2021-12-03T11:08:29+09:00, 8, 1, WIN, r
2, 2, 190, 2021-12-03T11:12:54+09:00, 10, 1, WIN, r
2, 3, 190, 2021-12-03T11:17:16+09:00, 8, 0, WIN, r
2, 7, 190, 2021-12-03T11:21:41+09:00, 7, 8, LOSE, r
2, 5, 190, 2021-12-03T11:26:03+09:00, 1, 11, LOSE, r
2, 11, 190, 2021-12-03T11:30:25+09:00, 10, 3, WIN, r
2, 9, 190, 2021-12-03T11:34:50+09:00, 2, 13, LOSE, r
2, 12, 190, 2021-12-03T11:39:20+09:00, 2, 13, LOSE, r
3, 1, 190, 2021-12-03T11:43:42+09:00, 12, 9, WIN, r
3, 2, 190, 2021-12-03T11:48:04+09:00, 5, 7, LOSE, r
3, 3, 190, 2021-12-03T11:52:29+09:00, 5, 5, LOSE, r
3, 7, 190, 2021-12-03T11:56:54+09:00, 7, 8, LOSE, r
3, 5, 190, 2021-12-03T12:01:16+09:00, 16, 7, WIN, r
3, 11, 190, 2021-12-03T12:05:40+09:00, 4, 8, LOSE, r
3, 9, 190, 2021-12-03T12:10:02+09:00, 8, 9, LOSE, r
3, 12, 190, 2021-12-03T12:14:19+09:00, 3, 9, LOSE, r
4, 1, 190, 2021-12-03T12:18:44+09:00, 11, 1, WIN, r
4, 2, 190, 2021-12-03T12:23:09+09:00, 10, 1, WIN, r
4, 3, 190, 2021-12-03T12:27:33+09:00, 8, 2, WIN, r
4, 7, 190, 2021-12-03T12:31:55+09:00, 9, 13, LOSE, r
4, 5, 190, 2021-12-03T12:36:20+09:00, 1, 11, LOSE, r
4, 11, 190, 2021-12-03T12:40:45+09:00, 7, 11, LOSE, r
4, 9, 190, 2021-12-03T12:45:07+09:00, 8, 8, LOSE, r
4, 12, 190, 2021-12-03T12:49:38+09:00, 3, 13, LOSE, r
end
