DATETIME, REPOSITORY_URL, BRANCH, SCORE, LEVEL, RESULT, DROP_INTERVAL, 1LINE_SCORE, 2LINE_SCORE, 3LINE_SCORE, 4LINE_SCORE, GAMEOVER_SCORE
2021/12/28_20:59:17, https://github.com/seigot/tetris, master, 57, 1, SUCCESS, 1000, 0, 0, 0, 0, 0
2021/12/29_3:06:33, https://github.com/seigot/tetris, master, 55, 1, SUCCESS, 1000, 0, 0, 0, 0, 0
2021/12/29_3:06:54, https://github.com/seigot/tetriss, -, 0, -, github_url_string_NG, -, -, -, -, -, -
2021/12/29_3:07:22, https://github.com/seigot/tetris, master, 54, 1, SUCCESS, 1000, 0, 0, 0, 0, 0
2021/12/29_3:07:37, hogehogetest, -, 0, -, github_url_string_NG, -, -, -, -, -, -
2021/12/29_14:37:54, https://github.com/seigot/tetris, master, 57, 1, SUCCESS, 1000, 0, 0, 0, 0, 0
2021/12/29_22:06:41, https://github.com/seigot/tetris, master, 53, 1, SUCCESS, 1000, 0, 0, 0, 0, 0
null, null, -, 0, -, github_url_string_NG, -, -, -, -, -, -
2022/01/04_2:45:36, https://github.com/seigot/tetris, master, 58, 1, SUCCESS, 1000, 0, 0, 0, 0, 0
2022/01/04_4:06:37, https://github.com/seigot/tetris, master, 56, 2, SUCCESS, 1000, 0, 0, 0, 0, 0
2022/01/04_4:06:48, https://github.com/seigot/tetris, master, 28, 3, SUCCESS, 1000, 0, 0, 0, 0, 0
2022/01/04_13:07:25, https://github.com/seigot/tetris, master, 29, 3, SUCCESS, 1000, 0, 0, 0, 0, 0
2022/01/04_13:07:37, https://github.com/seigot/tetris, master, 56, 2, SUCCESS, 1000, 0, 0, 0, 0, 0
2022/01/04_13:07:46, https://github.com/seigot/tetris, master, 56, 1, SUCCESS, 1000, 0, 0, 0, 0, 0
2022/01/04_13:10:34, https://github.com/seigot/tetris_game, -, 0, -, github_url_string_NG, -, -, -, -, -, -
2022/01/04_20:59:58, https://github.com/seigot/tetris, master, 54, 2, SUCCESS, 1000, 0, 0, 0, 0, 0
2022/01/06_0:19:56, https://github.com/seigot/tetris, master, 58, 1, SUCCESS, 1000, 0, 0, 0, 0, 0
2022/01/08_22:52:01, https://github.com/seigot/tetris, maste, 0, -, github_url_branch_access_NG, -, -, -, -, -, -
2022/01/08_22:52:18, https://github.com/seigot/tetris, master, 54, 1, SUCCESS, 1000, 0, 0, 0, 0, 0
2022/01/08_23:14:24, https://github.com/seigot/tetris, master, -174, 1, SUCCESS, 100, 0, 0, 0, 0, -500
2022/01/08_23:14:42, https://github.com/seigot/tetris, master, 0, -, check_drop_interval_value_NG, -1, -, -, -, -, -
2022/01/08_23:14:54, https://github.com/seigot/tetris, master, 0, -, check_drop_interval_value_NG, 0, -, -, -, -, -
